Tweet Id	Text	Name	Screen Name	UTC	Created At	Favorites	Retweets	Language	Client	Tweet Type	URLs	Hashtags	Mentions	Media Type	Media URLs			
1291749761511456768	https://t.co/GCdlGJpOxc	Donald J. Trump	realDonaldTrump	2020-08-07T14:55:17.000Z	Fri Aug 07 14:55:17 +0000 2020	123393	27854	und	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0	photo	https://pbs.twimg.com/media/Ee03jZrWoAEhgOF.jpg			
1291748179726209024	https://t.co/3Oe3SUds5k	Donald J. Trump	realDonaldTrump	2020-08-07T14:49:00.000Z	Fri Aug 07 14:49:00 +0000 2020	45430	12537	und	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.whitehouse.gov/briefings-statements/presidential-message-national-purple-heart-day-2020/ 	0	0					
1291732831102803968	Great Jobs Numbers!	Donald J. Trump	realDonaldTrump	2020-08-07T13:48:00.000Z	Fri Aug 07 13:48:00 +0000 2020	191230	30307	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0					
1291722355471941633	After yesterday’s statement, Sleepy Joe Biden is no longer worthy of the Black Vote!	Donald J. Trump	realDonaldTrump	2020-08-07T13:06:23.000Z	Fri Aug 07 13:06:23 +0000 2020	191405	38215	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0					
1291721526341926912	RT @YahooNews : NEW: Biden draws distinction between diversity within Black and Latino communities, telling @NPR’s @lourdesgnavarro that “unlike the African-American community, with notable exceptions, the Latino community is an incredibly diverse community with incredibly different attitudes.." https://t.co/ZbWmVZTFFL	Donald J. Trump	realDonaldTrump	2020-08-07T13:03:05.000Z	Fri Aug 07 13:03:05 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	2	video	https://video.twimg.com/amplify_video/1291351622958940162/vid/1280x720/SYzlLuGnheWWauJa.mp4?tag=13			
1291718731224305670	This is the biggest political crime and scandal in American history. Hopefully, for the good of our Country, it is coming soon! https://t.co/sgblnB0EgL	Donald J. Trump	realDonaldTrump	2020-08-07T12:51:59.000Z	Fri Aug 07 12:51:59 +0000 2020	69253	23363	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/paulsperry_/status/1291164999830974465 	0	0					
1291718043261968385	Thank you! https://t.co/OS9T8cjDy0	Donald J. Trump	realDonaldTrump	2020-08-07T12:49:15.000Z	Fri Aug 07 12:49:15 +0000 2020	49246	12499	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/thefogislifting/status/1291573516215570435 	0	0					
1291717905239937026	Thank you! https://t.co/uEytELtQQj	Donald J. Trump	realDonaldTrump	2020-08-07T12:48:42.000Z	Fri Aug 07 12:48:42 +0000 2020	56306	13516	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/blu_flag/status/1291562630746963970 	0	0					
1291717770791583744	"RT @danvargas77 : @realDonaldTrump Yes! Please add to the things to do. Drain the swamp and prevent it from coming back. Set ""Term limits"" to our politicians. 
Also, establish a National standard election process that will protect and preserve the integrity of our elections."	Donald J. Trump	realDonaldTrump	2020-08-07T12:48:10.000Z	Fri Aug 07 12:48:10 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	1					
1291717616579547136	RT @TimTebow : On this World Day Against Trafficking, I’m humbled to announce that we are deepening our commitment in the fight against Human Trafficking. Visit https://t.co/1Jm8QXdfoh for more on how the @tebowfoundation is going deeper into this fight. Will you join us? #EndHumanTrafficking https://t.co/pgrIuBhHJM	Donald J. Trump	realDonaldTrump	2020-08-07T12:47:33.000Z	Fri Aug 07 12:47:33 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet	https://www.timtebowfoundation.org/anti-human-trafficking 	1	1	video	https://video.twimg.com/ext_tw_video/1288814594765594625/pu/vid/320x400/-LJkSxKolSwgVuki.mp4?tag=10			
1291717437616947203	RT @EdwardLawrence : The letter adds: “potentially allowing China to track the locations of Federal employees and contractors, build dossiers of personal information for blackmail, and conduct corporate espionage.” #TikTok #POTUS	Donald J. Trump	realDonaldTrump	2020-08-07T12:46:50.000Z	Fri Aug 07 12:46:50 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		2	0					
1291717271027625985	RT @EdwardLawrence : In letter to Congress President Donald Trump calls TikTok a threat to national security because the data the app collects. The letter says: “This data collection threatens to allow the Chinese Communist Party access to Americans' personal and proprietary information...” #TikTok	Donald J. Trump	realDonaldTrump	2020-08-07T12:46:11.000Z	Fri Aug 07 12:46:11 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		1	0					
1291716869100122112	RT @ABC7NY : President Donald Trump on Thursday ordered an unspecified ban on "transactions" with the Chinese owners of the consumer apps TikTok and WeChat. https://t.co/7ThlpKPgSr	Donald J. Trump	realDonaldTrump	2020-08-07T12:44:35.000Z	Fri Aug 07 12:44:35 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet	https://7ny.tv/3fCul2k 	0	0					
1291716077404250113	"RT @QuickTake : BREAKING: Trump signs executive order forcing the divestment of TikTok by it’s owner, ByteDance.

Any company still doing business with TikTok in 45 days is subject to sanctions, Trump said https://t.co/pgycgEAm0l"	Donald J. Trump	realDonaldTrump	2020-08-07T12:41:26.000Z	Fri Aug 07 12:41:26 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	0	photo	https://pbs.twimg.com/media/Eex8L7TXYAEBCLv.jpg			
1291714762980708353	"RT @dcexaminer : ""Joe Biden this morning, he totally disparaged and insulted the black community. What he said is incredible...it was a very insulting statement he made.""

@realDonaldTrump responds to @JoeBiden saying Latinos have 'incredibly different' attitudes, unlike black Americans. https://t.co/EOoyatyq0b"	Donald J. Trump	realDonaldTrump	2020-08-07T12:36:13.000Z	Fri Aug 07 12:36:13 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	2	video	https://video.twimg.com/ext_tw_video/1291418788022251520/pu/pl/h1sMVz-5t8Zdego6.m3u8?tag=10			
1291714598140338181	RT @ABCWorldNews : RACE COMMENT BACKLASH: @marykbruce reports on the backlash Joe Biden is facing after appearing to suggest most African Americans are uniform in their views, with Pres. Trump seizing on the comment and the Biden campaign responding. https://t.co/00yjwFpCtP https://t.co/cCXBRFsHHN	Donald J. Trump	realDonaldTrump	2020-08-07T12:35:33.000Z	Fri Aug 07 12:35:33 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet	https://abcn.ws/3kjuz1T 	0	1	video	https://video.twimg.com/amplify_video/1291522443618787329/vid/1280x720/JPkvhYj5pC47ZwJN.mp4?tag=13			
1291713214066184192	I called the politicization of the China Virus by the Radical Left Democrats a Hoax, not the China Virus itself. Everybody knows this except for the Fake and very Corrupt Media!	Donald J. Trump	realDonaldTrump	2020-08-07T12:30:03.000Z	Fri Aug 07 12:30:03 +0000 2020	142345	35093	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0					
1291535003466096641	https://t.co/8XG18cSqTr https://t.co/KHWhXoJG7L	Donald J. Trump	realDonaldTrump	2020-08-07T00:41:55.000Z	Fri Aug 07 00:41:55 +0000 2020	67463	21314	und	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/WhiteHouse/status/1291480470828572672 	0	0	video	https://video.twimg.com/ext_tw_video/1291534579279335425/pu/vid/640x360/VscSbcPU6lRzv_05.mp4?tag=10			
1291494244943908865	WE will WIN Ohio even bigger than we did in 2016 — MAGA is stronger than ever before! https://t.co/2JB9rCzRue	Donald J. Trump	realDonaldTrump	2020-08-06T21:59:57.000Z	Thu Aug 06 21:59:57 +0000 2020	175337	43792	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0	video	https://video.twimg.com/ext_tw_video/1291493841141407744/pu/pl/5N9jlpy9dRUdBPO-.m3u8?tag=10			
1291489202157293568	"RT @theangiestanton : Chicago had a 139% increase in murders in July

2020 --&gt; 105

2019 --&gt; 44

Barack Obama, Joe Biden, and every single NBA player are silent.

They don't care about black lives. They care about capitalizing on black lives!"	Donald J. Trump	realDonaldTrump	2020-08-06T21:39:55.000Z	Thu Aug 06 21:39:55 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	0					
1291489131818885126	"RT @theangiestanton : My name is Angela Stanton King. 

I’m a proud Black woman who supports @realDonaldTrump. 

I’m done with the Democrat Party lying to my community. 

I’m running for Congress to end the lies once and for all. 

RT and follow to join my campaign of truth! 🇺🇸"	Donald J. Trump	realDonaldTrump	2020-08-06T21:39:38.000Z	Thu Aug 06 21:39:38 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	1					
1291488732173012992	RT @GOP : “Joe Biden’s polices put China first, and America last.” -@realDonaldTrump	Donald J. Trump	realDonaldTrump	2020-08-06T21:38:03.000Z	Thu Aug 06 21:38:03 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	1					
1291488510525034496	"RT @ZubyMusic : I've updated my Twitter username to stand in solidarity with my Black American friends, who first had their blackness snatched by Joe Biden, before he proceeded to tell them they are all monolithic lemmings. 

#NotableException ✊🏾"	Donald J. Trump	realDonaldTrump	2020-08-06T21:37:10.000Z	Thu Aug 06 21:37:10 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		1	0					
1291488374835097601	"RT @TrumpWarRoom : Fake News CNN is at it again, carrying water for Joe Biden!  
https://t.co/JaHv6P3jbx"	Donald J. Trump	realDonaldTrump	2020-08-06T21:36:37.000Z	Thu Aug 06 21:36:37 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet	https://www.foxnews.com/media/cnn-avoids-biden-junkie-remark-cognitive-test 	0	0					
1291488374835097600	RT @ChristianWalk1r : Joe Biden’s comfort with “ African Americans “ votes is insulting. I’m black and I won’t be casting my vote for Jim Crow Joe @JoeBiden. I’m pro-America https://t.co/feu4xLCVc0	Donald J. Trump	realDonaldTrump	2020-08-06T21:36:37.000Z	Thu Aug 06 21:36:37 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	1	video	https://video.twimg.com/ext_tw_video/1291458041540308992/pu/vid/360x640/S7CCwH2tY6ZR9UNa.mp4?tag=10			
1291483070697283590	RT @TeamTrump : President @realDonaldTrump: “I didn’t back down from my promises, and I’ve kept every single one” https://t.co/t49go2qstj	Donald J. Trump	realDonaldTrump	2020-08-06T21:15:33.000Z	Thu Aug 06 21:15:33 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	1	video	https://video.twimg.com/amplify_video/1291462946204405761/vid/480x270/ILlixp1Y_Q5taP1n.mp4?tag=13			
1291478222568333318	"RT @WhiteHouse : For too many years, Washington stood idly by as other countries drove American workers out of their jobs.

Not under President @realDonaldTrump! https://t.co/h68f6WY9xk"	Donald J. Trump	realDonaldTrump	2020-08-06T20:56:17.000Z	Thu Aug 06 20:56:17 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	1	video	https://video.twimg.com/amplify_video/1291463564956508161/vid/480x270/VSJUJ7IgPuHw8bSo.mp4?tag=13			
1291478097699778565	RT @WhiteHouse : President @realDonaldTrump is laying out a vision to bring thousands more factories and millions more jobs back to American soil! 🇺🇸 https://t.co/3dUxpl1xjV	Donald J. Trump	realDonaldTrump	2020-08-06T20:55:47.000Z	Thu Aug 06 20:55:47 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet		0	1	video	https://video.twimg.com/amplify_video/1291460854873980928/vid/480x270/hdSdu2xQyLkXFYzm.mp4?tag=13			
1291457000283541511	RT @WhiteHouse : LIVE: President @realDonaldTrump delivers remarks at Whirlpool Corporation manufacturing plant https://t.co/2vC0EyoqoK	Donald J. Trump	realDonaldTrump	2020-08-06T19:31:57.000Z	Thu Aug 06 19:31:57 +0000 2020	0	0	en	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Retweet	https://www.pscp.tv/w/cfsAeDFxTFFHVnJ5UkFKRUp8MW1ueGVsak1FcExKWFUXCt_hiqcKXwOvvbY4I2WE19GQGURw2I6zAA5-dk6N 	0	1					
