Text	Screen Name	UTC	Client	Tweet Type	URLs	Hashtags	Mentions	Media Type
"As communities around the country try to reimagine how law enforcement can operate in a just, effective and non-discriminatory way, these articles provide some useful background and differing viewpoints on the issue. 
https://t.co/tm08fXSkRF"	BarackObama	2020-07-09T18:15:49.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://www.vox.com/policy-and-politics/2020/7/7/21293259/police-racism-violence-ideology-george-floyd 	0	0	
"For too long, gerrymandering has contributed to stalled progress and warped our representative government. Redistricting begins next year—let’s all do our part to protect and restore our democracy.

Join me and @allontheline in the fight for fair maps: https://t.co/rU2hd4812n https://t.co/hbeQAjzRlv"	BarackObama	2020-07-08T16:58:33.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	http://allontheline.org/citizen-commitment/ https://twitter.com/allontheline/status/1280906823353208832 	0	1	
Our founding promise has never been guaranteed. Each generation has been called to bring us a little closer to our highest ideals—and history’s calling on us right now. So let’s all do whatever we can to help @JoeBiden expand that promise to all Americans. https://t.co/5zby4l3W5H	BarackObama	2020-07-04T14:35:02.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://twitter.com/JoeBiden/status/1279414665542381568 	0	1	
"This holiday weekend, let’s be safe and smart. It’s going to take all of us to beat this virus. So wear a mask. Wash your hands. And listen to the experts, not the folks trying to divide us. That's the only way we’ll do this—together.
https://t.co/UwNKAzL8JU"	BarackObama	2020-07-03T16:00:04.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://www.nytimes.com/2020/06/26/at-home/celebrate-fourth-of-july-coronavirus.html 	0	0	
Today I’m tipping my hat to all the giants in the Negro Leagues, from Satchel Paige to Toni Stone and so many others. Their brave example, first set 100 years ago, changed America’s pastime for the better––opening it up for new generations of players and fans alike. https://t.co/05jWocKs17	BarackObama	2020-06-29T14:00:17.000Z	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	0	video
Jim’s courage and persistence helped change America for the better. And so did every American who marched, organized, stood up, came out—or changed their own heart because they love someone who did. Happy anniversary, everybody. https://t.co/t8ULh2c0P5	BarackObama	2020-06-26T14:56:57.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/ObamaFoundation/status/1276525757007908865 	0	0	
Michelle and I want every kid in Chicago to grow up knowing even better opportunities than we had. We’re happy to help Chicago Connected reach every kid in the city. This is where I found a purpose and a family––and it’ll always be our home. https://t.co/ofSCxK8cJC	BarackObama	2020-06-25T19:47:05.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/chicagosmayor/status/1276229480055402498 	0	0	
"I’m joining my friend @JoeBiden tomorrow to talk about everything that’s at stake in this election. 

I hope you’ll join us, too. This is a critical moment in our history––and all of us have to do our part to build this country into what we know it can be. https://t.co/diQxk3uFH2"	BarackObama	2020-06-22T16:30:58.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://secure.actblue.com/donate/biden2020_obama_grassrootsfr?refcode=social-tw-20200616p44social&utm_medium=social&utm_source=tw&utm_campaign=20200616p44social 	0	1	
"Juneteenth has never been a celebration of victory, or an acceptance of the way things are. It's a celebration of progress. It's an affirmation that despite the most painful parts of our history, change is possible––and there is still so much work to do.
https://t.co/5XCRdnk3iR"	BarackObama	2020-06-19T16:51:15.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://www.nytimes.com/2020/06/18/opinion/juneteenth-slavery-freedom.html 	0	0	
Eight years ago this week, we protected young people who were raised as part of our American family from deportation. Today, I'm happy for them, their families, and all of us. We may look different and come from everywhere, but what makes us American are our shared ideals…	BarackObama	2020-06-18T15:23:59.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0	
"These Nashville teenagers are representative of the remarkable leadership we’re seeing from young people across the country and around the world. 

https://t.co/TMA2BmKyq9"	BarackObama	2020-06-16T15:30:52.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://www.nytimes.com/2020/06/15/opinion/nashville-teens-protests.html 	0	0	
Today reminds us that progress might be slow. It might take decades. But no matter what things might look like today, it’s always possible. Happy Pride month, everybody. https://t.co/ey7p2TgEEf	BarackObama	2020-06-16T01:06:17.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet		0	0	photo
Over the past few weeks, we’ve seen young people in every corner of the country step up and become leaders. Through organization and mobilization, they’re showing us how we can sustain this momentum to bring about real change. https://t.co/UKnowQM2Lj	BarackObama	2020-06-11T18:30:57.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://time.com/5847228/george-floyd-nationwide-protests/ 	0	0	
It’s too early to tell if it’s permanent, but the changes brought on by COVID-19 are forcing many of us to reflect on what really matters in our lives. https://t.co/9qlOdWKAuO	BarackObama	2020-06-10T15:10:15.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.vox.com/future-perfect/2020/6/9/21279258/coronavirus-pandemic-new-quarantine-habits 	0	0	
"As has always been true at key moments in history, it’s going to depend on young people to go out there and rewrite what is possible.

I couldn’t be prouder of all the young people leading that change right now. Here’s my advice for the Class of 2020: https://t.co/XD2n7LEihk"	BarackObama	2020-06-07T23:25:01.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://www.obama.org/updates/president-obama-dear-class-2020/ 	0	0	
We’ve seen the power that our voices have when we speak out about injustice––but we also know the toll that it takes on our mental health. Today, I talked to @repjohnlewis, Bryan Stevenson, and @MBK_Alliance activists about ways to keep our mental health a priority at this time. https://t.co/PAsWb607EU	BarackObama	2020-06-06T00:37:08.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://twitter.com/ObamaFoundation/status/1269058266950242317 	0	2	
On National Gun Violence Awareness Day, we #WearOrange to honor the victims and survivors of gun violence––which continues to disproportionately harm Black communities. Then keep speaking up, voting, and changing laws across the country.	BarackObama	2020-06-05T16:21:00.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		1	0	
Real change requires protest to highlight a problem, and politics to implement practical solutions and laws. As I mentioned yesterday in our @MBK_Alliance town hall, there are several steps our mayors and elected officials can take right now:	BarackObama	2020-06-04T23:15:57.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet		0	1	
In our @MBK_Alliance town hall yesterday, I mentioned James Baldwin's The Fire Next Time. From 1962, it remains a seminal meditation on race by one of our greatest writers and relevant for understanding the pain and anger behind the protests. Excerpt: https://t.co/50F9ZP3JhQ	BarackObama	2020-06-04T13:04:56.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://www.newyorker.com/magazine/1962/11/17/letter-from-a-region-in-my-mind 	0	1	
"Here’s a useful read––a reminder of the importance of de-escalation by police in their interactions with protestors.

https://t.co/Ondw85gQNL"	BarackObama	2020-06-03T15:04:19.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://fivethirtyeight.com/features/de-escalation-keeps-protesters-and-police-safer-heres-why-departments-respond-with-force-anyway/ 	0	0	
"Let’s do this another way. Let's stop thinking our voice don’t matter and vote. Not just for the president...educate yourself and know who you’re voting for. And that’s how we're going to hit 'em." https://t.co/WX6oLNRtI2	BarackObama	2020-06-01T23:59:01.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://twitter.com/NBCNews/status/1267519992427356162 	0	0	
As millions of people across the country take to the streets and raise their voices in response to the killing of George Floyd and the ongoing problem of unequal justice, I’ve heard many ask how we can sustain momentum to bring about real change.	BarackObama	2020-06-01T19:11:49.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet		0	0	
I wrote out some thoughts on how to make this moment a real turning point to bring about real change––and pulled together some resources to help young activists sustain the momentum by channeling their energy into concrete action. https://t.co/jEczrOeFdv	BarackObama	2020-06-01T14:15:57.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://medium.com/@BarackObama/how-to-make-this-moment-the-turning-point-for-real-change-9fa209806067 	0	0	
My statement on the death of George Floyd: https://t.co/Hg1k9JHT6R	BarackObama	2020-05-29T16:06:54.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet		0	0	photo
If you believe in a more just, more generous, more democratic America, now is the time to fight for it. Here’s a terrific way to register voters, organize communities, and ramp up turnout in the battleground states that will decide this election: https://t.co/FmN8RCJymg https://t.co/R5FZ6OBfxz	BarackObama	2020-05-27T15:00:15.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	http://votesaveamerica.com/adopt 	0	0	photo
"On Memorial Day, we honor those who gave all for us. That takes different forms this year, but it’s even more vital with the loss of so many veterans to COVID-19.

The way they lived, in service to one another, should be our roadmap in the months ahead. https://t.co/S0sqvuicm8"	BarackObama	2020-05-25T14:31:05.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://apnews.com/bd78e6bdd5667217c87428fb24b4bbcd 	0	0	
"As all 50 states begin the process of reopening, here are three articles that offer some lessons from other countries about the tradeoffs and policies involved. First, here’s what European nations have done to support workers:

https://t.co/OXJMUaFDKo"	BarackObama	2020-05-23T21:55:56.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://www.washingtonpost.com/world/europe/joblessness-is-rising-far-more-slowly-in-europe-than-in-the-us-during-the-pandemic-new-figures-show/2020/04/30/7a5a050a-8a5a-11ea-80df-d24b35a568ae_story.html 	0	0	
The Class of 2020 is full of the leaders we need to bend the arc of history toward a better future—and our HBCU grads have the talent, skills, and vision to lead that change. I couldn't be prouder of all of you. https://t.co/Qlr5ivBvpJ	BarackObama	2020-05-23T18:03:41.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/TheUndefeated/status/1264239670184968192 	0	0	
As Chicago navigates the health crisis, its residents continue to show up for one another in their communities. It’s one of the things I love most about the city—and one of the many reasons it’s such a good home for the @ObamaFoundation. https://t.co/ALo7kusc8K	BarackObama	2020-05-20T21:34:17.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/ObamaFoundation/status/1263166150923468800 	0	1	
Congrats to the high school Class of 2020, as well as to the teachers, coaches, and most of all, parents and family who’ve guided you along the way. Thanks for letting me be part of your big day! https://t.co/RjYvHs2BhC	BarackObama	2020-05-17T01:00:04.000Z	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	0	video
Congratulations to the HBCU Class of 2020! Michelle and I are so proud of you. As you set out to change the world, we’ll be the wind at your back. Can’t wait to see what you achieve. https://t.co/PCsjkJJTXi	BarackObama	2020-05-16T21:47:43.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://twitter.com/UNCF/status/1261773529936097280 	0	0	
Graduating is a big achievement no matter what, but with all that the Class of 2020 has dealt with to get across the finish line, I think they’ve earned a little celebration. I hope you’ll all join me in honoring them at 2PM ET and 8PM ET. https://t.co/dBK5nll7w8	BarackObama	2020-05-16T16:00:01.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet		0	0	photo
Vote.	BarackObama	2020-05-14T18:44:56.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0	
Michelle and I want to do our part to give all you parents a break today, so we’re reading “The Word Collector” for @chipublib. It’s a fun book that vividly illustrates the transformative power of words––and we hope you enjoy it as much as we did. https://t.co/ADYbL6Dzg4	BarackObama	2020-05-14T15:30:44.000Z	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	1	video
"Despite all the time that’s been lost, we can still make real progress against the virus, protect people from the economic fallout, and more safely approach something closer to normal if we start making better policy decisions now.
https://t.co/pfokyI8GiB"	BarackObama	2020-05-13T23:05:11.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.vox.com/2020/5/13/21248157/testing-quarantine-masks-stimulus 	0	0	
Change comes when all of us step up and play our part in this democracy. By encouraging our young people, like these students from @ChiPubSchools, to start engaging in our civic life today, we’re already creating something better for tomorrow. https://t.co/9ScwPruoyA	BarackObama	2020-05-11T21:06:14.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://twitter.com/ObamaFoundation/status/1259933954934804481 	0	1	
Even if you can’t give the moms in your life a hug today, I hope you can give them an extra thank you today. Thank you and Happy Mother’s Day to the woman who makes it all possible. Love you, @michelleobama. https://t.co/E9ebxaSBpy	BarackObama	2020-05-10T15:03:15.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet		0	1	photo
There’s no limit to the devotion I’ve seen in teachers like these @ChiPubSchools educators. Their dedication shapes the best parts of who we become. I couldn’t be more thankful for their work, especially as they shift lessons online to keep students on track during this crisis. https://t.co/xYECcrAxdE	BarackObama	2020-05-06T14:10:45.000Z	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet		0	1	video
I’ve always loved joining commencements––the culmination of years of hard work and sacrifice. Even if we can’t get together in person this year, Michelle and I are excited to celebrate the nationwide Class of 2020 and recognize this milestone with you and your loved ones. https://t.co/ngR2ykx3A2	BarackObama	2020-05-05T15:05:41.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0	photo
The folks of the Chicago @fooddepository—and food banks in communities like yours—are working overtime to feed the vulnerable and families who’ve fallen on hard times. But even as demand has spiked, donations have slowed. Their incredible efforts are worth supporting if you can. https://t.co/kSdijlyHLH	BarackObama	2020-05-01T18:25:11.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/FoodDepository/status/1256257163258978305 	0	1	
The pandemic has magnified the financial insecurity of too many American families, the deep and real racial disparities in our society – and the imbalanced burdens on working moms. We have to create something better for America on the other side of this. https://t.co/eyy3dC22Ze	BarackObama	2020-04-27T17:22:11.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.nytimes.com/2020/04/22/us/politics/women-coronavirus-2020.html 	0	0	
In moments of crisis, we look out for one other. And we need leaders with empathy who will bring people together rather than drive them apart. @JoeBiden has the character and experience to guide us through one of our darkest times and heal us through a long recovery. https://t.co/JkaBWYejKh	BarackObama	2020-04-25T20:49:19.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/JoeBiden/status/1254042684131627009 	0	1	
This pandemic has painfully brought to the surface many of the reasons I launched @MBK_Alliance—structural racism robs too many of our kids of their futures. The leaders on today's call aren't just tackling this crisis; they’re helping us build a more equitable future for all. https://t.co/9dsedZYt0E	BarackObama	2020-04-25T00:00:58.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/MBK_Alliance/status/1253827839503278082 	0	1	
If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not going to be cheap, but it will ultimately pay off many times over in saved lives, saved businesses, and saved jobs. https://t.co/pnN9KVcvQR	BarackObama	2020-04-24T20:53:55.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.vox.com/2020/4/13/21215133/coronavirus-testing-covid-19-tests-screening 	0	0	
While we continue to wait for a coherent national plan to navigate this pandemic, states like Massachusetts are beginning to adopt their own public health plans to combat this virus––before it's too late. https://t.co/Eb2Hz8H8vU	BarackObama	2020-04-22T19:40:36.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.newyorker.com/science/medical-dispatch/its-not-too-late-to-go-on-offense-against-the-coronavirus 	0	0	
We've all had to adapt to cope with a pandemic. Climate change will force far harsher changes on our kids. All of us should follow the young people who've led the efforts to protect our planet for generations, and demand more of our leaders at every level. https://t.co/uNueQl5bNX	BarackObama	2020-04-22T15:32:30.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.wbez.org/stories/50-years-after-the-first-earth-day-young-activists-are-not-slowed-by-a-pandemic/f0af0efd-4033-4efa-9c1e-9601f90c82d7 	0	0	
Parents, you deserve a break – Michelle’s got storytime handled every Monday. She’s one of the best, I promise. (And I confess it makes me a little nostalgic.) https://t.co/Pmz8kRNMBC	BarackObama	2020-04-20T17:01:39.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/MichelleObama/status/1252263838508101634 	0	0	
Proud of the leaders in my hometown of Chicago who are showing us what it means to be there for each other––as neighbors and as citizens. https://t.co/DjnC1F9ph7	BarackObama	2020-04-17T19:52:14.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/ObamaFoundation/status/1251225682065133568 	0	0	
When I think of people I’ve counted on over the years, Sarah Hurwitz comes to mind. She's the talented author of @HereAllAlong, and a longtime member of my team. Here she shares her experience with faith, traditions, and staying connected during this time. https://t.co/pftk4JkhKQ	BarackObama	2020-04-17T14:45:45.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.washingtonpost.com/opinions/2020/04/13/how-show-lovingkindness-despite-social-distancing/ 	0	1	
Democracy depends on an informed citizenry and social cohesion. Here’s a look at how misinformation can spread through social media, and why it can hurt our ability to respond to crises. https://t.co/qnLcR3mh8A	BarackObama	2020-04-15T16:43:48.000Z	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	Tweet	https://www.nytimes.com/2020/04/13/science/putin-russia-disinformation-health-coronavirus.html 	0	0	
I’m proud to endorse my friend @JoeBiden for President of the United States. Let's go: https://t.co/maHVGRozkX	BarackObama	2020-04-14T15:47:23.000Z	<a href="https://studio.twitter.com" rel="nofollow">Twitter Media Studio</a>	Tweet	https://twitter.com/i/broadcasts/1PlJQmrlRMzJE 	0	1	
Dreamers have contributed so much to our country, and they are risking their lives fighting on the frontlines of this pandemic. They deserve permanent immigration status and a pathway to citizenship—as they are Americans in every way but on paper. https://t.co/e4IYqX3WIy	BarackObama	2020-04-13T18:01:58.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.washingtonpost.com/immigration/dreamers-risk-lives-on-pandemics-front-lines-while-they-await-court-ruling/2020/04/11/d34a7b58-76c4-11ea-85cb-8670579b863d_story.html 	0	0	
"We can't deny that racial and socioeconomic factors are playing a role in who is being hit the hardest by the virus. It's a reminder for our policymakers to keep our most vulnerable communities at the forefront when making decisions.
https://t.co/aipc8p7Hwh"	BarackObama	2020-04-13T15:33:36.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.theatlantic.com/ideas/archive/2020/04/coronavirus-exposing-our-racial-divides/609526/ 	0	0	
Although our celebrations may look different this year, our unwavering faith remains the same. For me, Easter is a time of hope––a reminder of rebirth and renewal––and a belief in a better day to come. From my family to yours, we wish you all a blessed and joyful Easter. https://t.co/xEsgxOarQ5	BarackObama	2020-04-12T14:41:33.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0	photo
No one should be forced to choose between their right to vote and their right to stay healthy like the debacle in Wisconsin this week. https://t.co/fbDCbOb9qN	BarackObama	2020-04-10T21:08:05.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.nytimes.com/2020/04/07/us/politics/wisconsin-election-coronavirus.html?referringSource=articleShare 	0	0	
Some good news: states that started social distancing early and aggressively, like California, have avoided overwhelmed health care systems. It’s critical that we continue to listen to the evidence and experts and practice social distancing. https://t.co/56RgGeAfr7	BarackObama	2020-04-10T13:50:02.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://www.npr.org/sections/health-shots/2020/04/07/825479416/new-yorks-coronavirus-deaths-may-level-off-soon-when-might-your-state-s-peak 	0	0	
Mayors have been working hard to help us get through this pandemic, and they’ll have just as big a task to help people through hard times ahead. I spent some time with many of them today to thank them for their efforts, and asked them to keep up the good work. https://t.co/YzqPMPo8m2	BarackObama	2020-04-09T21:00:27.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet	https://twitter.com/BloombergDotOrg/status/1248350754101964801 	0	0	
Through centuries of persecution, exile and struggle, the story of Passover has reminded the Jewish people––and all of humanity––of the power to overcome even the greatest of odds. Michelle and I send our warmest wishes to those celebrating with loved ones at home or virtually.	BarackObama	2020-04-08T21:18:19.000Z	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Tweet		0	0	
